view,mercado,conditionId,n_trades_total,bateu_cap_20k,t_cobertura_min,primeiro_slot,ultimo_slot
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt2,0xf206edd60c69d747044cbabd5f4966413f0869c83c04c95bb134283d4542ee9a,83,não,2026-06-11 19:15:39,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt3,0xd4e20b015a6848247cfa5adf977052e361e1ddc338bdb8d0ef330df477b15f12,76,não,2026-06-11 21:22:36,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt4,0x2380362120cb844850e6dcd98700af85f11a0884e6a063480502ac56cfa656f4,59,não,2026-06-11 21:22:36,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt5,0xf768d9032f4360788ac7cd6011ea70ff7b159f3b6bbe44e6b6db361bf5cca750,61,não,2026-06-11 00:05:13,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt6,0xaba0ea37df2e8b2ea1d163e146a7d3eea10004dcf5de204e1d6212539629c7e1,50,não,2026-06-11 00:05:13,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt7,0xbf8e551ea81e32d0c763a2d4da3c5278267019805895ae1753006c5243689c92,51,não,2026-06-10 20:59:16,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt8,0xf99722d6b283c63f35512e80977255f0551fba3923c829884ca496fdb7be1131,57,não,2026-06-10 20:56:57,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_june-inflation-us-monthly-20260610151033433_will-monthly-inflation-increase-by-0pt9,0x07c39818cfc204f0905dbfead5644bafc7b4bdc6861388903bd392a2e144813e,57,não,2026-06-10 20:53:42,2026-06-11 00:00,2026-07-14 12:00
2.2,CPI_march-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x7db7841bfa0051180efa513e23bd08a1a787cff58c95618d70a4da3dfc88a2f6,332,não,2025-03-13 01:38:59,2025-03-13 00:00,2025-04-10 12:00
2.2,CPI_march-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0x3c7d37f080c6faa1560ae04c8df40014c9a62325987c9df87da1b946ac56b95c,217,não,2025-03-14 11:55:41,2025-03-13 00:00,2025-04-10 12:00
2.2,CPI_march-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0x159fdf8f17696059b70d8018d1c99e1b0d65f11a339f151d7b13ec213c40ecc4,167,não,2025-03-13 18:36:10,2025-03-13 00:00,2025-04-10 12:00
2.2,CPI_march-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0x556ba5705a5c2bb0185a329152b07f18f205d5008dffc948cf14836a0ecdcb44,378,não,2025-03-14 04:59:24,2025-03-13 00:00,2025-04-10 12:00
2.2,CPI_march-inflation-monthly_will-monthly-inflation-increase-by-0pt5,0x0dd29e8d00dd30f0df07791e71c2274c0d2dce629646b0f2478797f53e9ccb3e,887,não,2025-03-13 01:54:49,2025-03-13 00:00,2025-04-10 12:00
2.2,CPI_march-inflation-us-monthly_will-monthly-inflation-increase-by-0pt3,0xe85ecaffd8541f8c74088f671cbdfb97eaaf91f92e1194fb673e8abc3974c75c,878,não,2026-03-12 20:09:19,2026-03-12 00:00,2026-04-09 00:00
2.2,CPI_march-inflation-us-monthly_will-monthly-inflation-increase-by-0pt4,0xba18ed27cfa6e9a2a741220ef5abfb8055251226e2e7f5efde290f0b87c517bc,704,não,2026-03-12 05:37:33,2026-03-12 00:00,2026-04-09 00:00
2.2,CPI_march-inflation-us-monthly_will-monthly-inflation-increase-by-0pt5,0xfc0809ec62c1405516f9b735e47fc234948c5a3046b237dc1cf56f73d5817a90,777,não,2026-03-12 20:10:47,2026-03-12 00:00,2026-04-09 00:00
2.2,CPI_march-inflation-us-monthly_will-monthly-inflation-increase-by-0pt6,0x5418a054e0f86a5ad40908eeee31dc72386b9c0766bc039a0c53ac427f7964b5,895,não,2026-03-12 12:28:07,2026-03-12 00:00,2026-04-10 12:00
2.2,CPI_march-inflation-us-monthly_will-monthly-inflation-increase-by-0pt7,0x3537351b374625e72a483b2cd15352729ca53c6eacfe7e8b2d2328ed8326c0c2,973,não,2026-03-12 20:10:47,2026-03-12 00:00,2026-04-09 00:00
2.2,CPI_march-inflation-us-monthly_will-monthly-inflation-increase-by-0pt8,0xde59eb12d813c8f9bd5988c4ec2227c4218468cef5058cf4793756c31e9e4538,1938,não,2026-03-12 20:10:03,2026-03-12 00:00,2026-04-09 00:00
2.2,CPI_may-inflation-monthly_will-monthly-inflation-increase-by-0pt0,0xbb56a7edaa5e771a399ef04615db522b7afe6c811a1525f5f569fadbb012032a,792,não,2025-05-13 19:54:20,2025-05-14 00:00,2025-06-11 12:00
2.2,CPI_may-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x0949a4f5f70803a9d336c3be23b0f1bcc3095ced6fbe831a91940c9060c1719f,617,não,2025-05-13 19:54:20,2025-05-14 00:00,2025-06-11 12:00
2.2,CPI_may-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0x7dcfeeeecc95b81ad350cf53610fd3263035ba4dd54e23a01ea95dc697e9aba3,820,não,2025-05-13 18:03:42,2025-05-14 00:00,2025-06-11 12:00
2.2,CPI_may-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0x063212bd0584056ec5d5499001ce19c9b0d00ecb0a44279375fa50a9e377a308,563,não,2025-05-13 19:54:20,2025-05-14 00:00,2025-06-11 12:00
2.2,CPI_may-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0x43293a5c29afabcf7c199cae244250c869b23b017e45e9d4eec056d50d6d757a,736,não,2025-05-13 18:03:54,2025-05-14 00:00,2025-06-11 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0x1238975c24547156c288a645a7d9e4bd3bc46bbb3790f0bbc6332c31c30250f0,77,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt2,0x47084ccf0484680371b0055a122446081b1a81d6ddfecf2ca4b46d218a9fc92c,101,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt3,0xc642575bea233d94818da50c43b93578b99b3976e05d9db528d5f99205d73a50,147,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt4,0xe2d112ac92d94c29edfc66bd39be876d298966eae73e815a377fc2decf8291a7,274,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt5,0x6ad572256da9fbebdf401cdd368618424644077700b5e1d1461236112d18bffa,523,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt6,0x5df2b1eee1b40c0ff3ae1c0c3bac9697f718ded26c3eff9ddb0084f613a71a34,316,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt7,0x1c978df1ef2ffa70155e81e94fe5c9e74774f4c046fdf8b9b8a7983b981f545e,188,não,2026-05-12 21:24:01,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt8,0x3d5e7bf9b70ad47937c85bc4728be4ed421bf80ce714f0e17d0d9026f00c0e84,130,não,2026-05-12 21:23:58,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_may-inflation-us-monthly_will-monthly-inflation-increase-by-0pt9,0x339cbfc3622d775e4904a15b60356be545dd232e41eed5dcf517038856b0dcef,112,não,2026-05-12 21:24:01,2026-05-13 00:00,2026-06-10 12:00
2.2,CPI_november-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x132691cb1226d90999586d53074c1f6fec5f7a8a4cdc8a9d42e989cac48bfb0e,2011,não,2025-11-14 04:25:58,2025-11-14 00:00,2026-01-13 12:00
2.2,CPI_november-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0xa18eced9489b947854914f0c64a66e7a3bed7859d66d607d860dec35bf454e2a,482,não,2025-11-14 05:38:40,2025-11-14 00:00,2026-01-13 12:00
2.2,CPI_november-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0x4a650203c078058404af564c0cb579beded0566195a9335b9cce17af56720778,815,não,2025-11-14 05:38:40,2025-11-14 00:00,2026-01-13 12:00
2.2,CPI_november-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0xbc8fc3a5ecc21dce9134dcac004ec04b21e71c37c4fd63694da463e5ca6e0bda,452,não,2025-11-14 05:38:40,2025-11-14 00:00,2026-01-13 12:00
2.2,CPI_november-inflation-monthly_will-monthly-inflation-increase-by-0pt5,0xdad32e9cfa63beba28b32d3ebdaf289f4bcfd221788cfa91432cbd2d65986cbd,283,não,2025-11-14 05:38:38,2025-11-14 00:00,2026-01-13 12:00
2.2,CPI_october-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x314a0e65fad886a5e01de5db17d76f7f4d831b2e93c5c3876945492f12df6575,593,não,2025-10-31 06:03:51,2025-10-31 00:00,2025-11-22 00:00
2.2,CPI_october-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0x8b7599d1bd4ffef11746907dbfe956a277c101489da806be25812efe22d1c359,349,não,2025-10-31 06:05:03,2025-10-31 00:00,2025-11-22 00:00
2.2,CPI_october-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0x0d1e037b01d0d049c4686dc5274221dc4f1aea8f30e8d71c5020cb4b43b1f4bd,303,não,2025-10-31 06:09:19,2025-10-31 00:00,2025-11-22 00:00
2.2,CPI_october-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0xfb58280f1c74f39b2ae04f474773935c38df2c0bc0d1c0ba7c6bc01c9424a853,211,não,2025-10-31 06:09:19,2025-10-31 00:00,2025-11-22 00:00
2.2,CPI_october-inflation-monthly_will-monthly-inflation-increase-by-0pt5,0x364d1f8c5541d35554c64ae986007a11ec83d66a2268563c61a2315d73ee3fa8,473,não,2025-10-31 06:09:21,2025-10-31 00:00,2025-11-22 00:00
2.2,CPI_september-inflation-monthly_will-monthly-inflation-increase-by-0pt1,0x93e575af281042983b62a19412f23dcefd36028403ec789c5895d4234c8d0740,646,não,2025-09-12 00:06:25,2025-09-12 00:00,2025-10-24 12:00
2.2,CPI_september-inflation-monthly_will-monthly-inflation-increase-by-0pt2,0x22e5e294d5971d3e2ab27aa7453575fabd3edc566a6d831fdd575a7eddc1642a,528,não,2025-09-12 00:06:25,2025-09-12 00:00,2025-10-24 12:00
2.2,CPI_september-inflation-monthly_will-monthly-inflation-increase-by-0pt3,0xa6e9c3e84b978ac22266b9596c9fe5e6b1a14fce57ef521acfa8bcbf09c46d65,543,não,2025-09-12 00:06:25,2025-09-12 00:00,2025-10-24 12:00
2.2,CPI_september-inflation-monthly_will-monthly-inflation-increase-by-0pt4,0x4e3d2a7b876818e57529f8bbb47df745104905eee1853ba38594c86d4ec3d6f8,699,não,2025-09-11 23:51:37,2025-09-12 00:00,2025-10-24 12:00
2.2,CPI_september-inflation-monthly_will-monthly-inflation-increase-by-0pt5,0x6ef075c9da61c78ca84b708fe7f34aa14ec761319324db64dcf788dadf42445e,671,não,2025-09-12 00:06:25,2025-09-12 00:00,2025-10-24 12:00
2.2,M1_cpi_monthly_will-monthly-inflation-increase-by-0pt0,0xa4dfc7605cd7665efd5af6c5e072b93b8658ec5cc884995751d9ba812999dd63,1792,não,2025-07-15 21:04:27,2025-07-16 00:00,2025-08-12 12:00
2.2,M1_cpi_monthly_will-monthly-inflation-increase-by-0pt1,0xc462c9f3092ca958620b2404a1dee04081901d93fd72392b69afaf550e7fdc41,1624,não,2025-07-15 21:04:19,2025-07-16 00:00,2025-08-12 12:00
2.2,M1_cpi_monthly_will-monthly-inflation-increase-by-0pt2,0x8f77c988f0d59c586025889f673665be989e11a428a11f3e53299651c3d2c0bc,1804,não,2025-07-15 19:16:30,2025-07-16 00:00,2025-08-12 12:00
2.2,M1_cpi_monthly_will-monthly-inflation-increase-by-0pt3,0x21706f8aef9aa3c1568c4354268669bdaa416026876afe3d0972a8a2ab844ea2,1495,não,2025-07-15 19:09:56,2025-07-16 00:00,2025-08-12 12:00
2.2,M1_cpi_monthly_will-monthly-inflation-increase-by-0pt4,0xafbd236a95daa3a0fd8fbc8a92781726bb3abb4c572c2aa0e3cce9a0bacac1b3,1574,não,2025-07-15 22:56:15,2025-07-16 00:00,2025-08-12 12:00
