view,mercado,conditionId,slot_utc,notional_usd,n_trades
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-23 00:00,143.912500,6
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-23 12:00,7.220200,1
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-24 00:00,136.195000,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-24 12:00,317.487897,6
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-25 00:00,0.000000,0
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-25 12:00,1478.286697,27
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-26 00:00,84.099997,6
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-26 12:00,14.850000,1
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-27 00:00,26.850000,2
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-27 12:00,1489.597900,6
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-28 00:00,91.926400,2
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-28 12:00,61.011099,3
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-29 00:00,0.000000,0
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-29 12:00,357.118800,3
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-30 00:00,4913.580996,14
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-30 12:00,663.755194,5
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-31 00:00,1001.923198,14
2.2,CPI_G4_janeiro-2026_january-inflation-us-monthly_will-monthly-inflation-increase-by-0pt1,0xa7e1a7561e1866aa345c0be640df952e1d41decf0a5c4bb571f077142fed025d,2026-01-31 12:00,1088.876800,22
